film,speaker_gender,dialogue,word_count_corrected,director,director_gender,speaker_role
THE SECRET AGENT,MALE,WHO IN OUR GENERATION,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,DIDN'T DANCE BACK IN THE 1950S,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,TO THIS GORGEOUS CLASSIC,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"""SAMBA NO ARPÈGE""?",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WALDIR HAD A BAND.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THEY PLAYED,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AT ALL THE GRADUATION DANCES.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND THAT CHORUS? WHO SINGS IT?,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THE MUSICIANS THEMSELVES?,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YES.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND YOUR FRIEND RIGHT HERE.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"YES, I WAS THERE TOO.",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BEAUTIFUL.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"IN FACT, WALDIR HIMSELF",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,ALSO DID THE CHORUS.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BEAUTIFUL.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"""FOLKS WHO LACK VERVE",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"DON'T HAVE THE NERVE TO DANCE, YOU SEE",8,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"""SAMBA AT THE ARPÈGE CLUB",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"IS AS SWEET AS CAN BE.""",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,LET'S HEAR IT.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"""SAMBA NO ARPÈGE"",",3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BY LUIZ BANDEIRA AND WALDIR CALMON.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,HEY.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WANT ME TO FILL 'ER UP?,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"DON'T WORRY ABOUT THAT,",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,THAT'S OK.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU WANNA FILL 'ER UP?,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WELL...,1,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,"YEAH, FILL 'ER UP, BUT...",5,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,WHAT'S THAT ABOUT?,3,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,HAPPENED LAST SUNDAY.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,POOR DEVIL CAME WITH A KNIFE,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,TO STEAL OIL CANS...,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"RIVANILDO, THE NIGHT GUY,",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,GRABBED THE 12-GAUGE,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND SHOT 'IM,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IN THE CHEST AND THE FACE.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,HE NEVER GOT UP AGAIN.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BASTARD GOT WHAT HE DESERVED.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"DON'T WORRY, YOU'RE A CUSTOMER.",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NOTHING TO DO WITH THAT.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OK?,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,FINE THEN.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BACK UP A BIT.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,TO BE NEAR THE PUMP.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OK.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,HE BEEN THERE SINCE SUNDAY?,5,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,YUP.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'LL TELL YOU THE WHOLE STORY. OH OH OH.,9,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"HE'S BEEN THERE SINCE SUNDAY NIGHT,",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,CARNIVAL WEEKEND.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,RIVANILDO CALLED THE OWNERS.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I DID TOO.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NO ANSWER.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,RIVANILDO RAN AWAY,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,TO NOT BE CAUGHT RED-HANDED.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WENT TO A CARNIVAL PARTY.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND I'M HERE WITH THIS MESS.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OPEN THE HOOD.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"IF I GO AWAY,",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'LL LOSE MY JOB.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
