film,speaker,word_count_corrected,speaker_gender,other_characters_wc
A COMPLETE UNKNOWN,BOB,4383,MALE,7734
ANORA,ANI,4468,FEMALE,9791
CONCLAVE,LAWRENCE,3056,MALE,4750
DUNE: PART TWO,PAUL,1440,MALE,5373
EMILIA PEREZ,EMILIA,2048,FEMALE,5396
EMILIA PEREZ,RITA,2294,FEMALE,5150
I'M STILL HERE,EUNICE,2255,FEMALE,4892
NICKEL BOYS,ELWOOD,1108,MALE,6431
NICKEL BOYS,TURNER,1678,MALE,5861
THE BRUTALIST,LASZLO,3575,MALE,11129
THE SUBSTANCE,ELISABETH,599,FEMALE,3132
THE SUBSTANCE,SUE,614,FEMALE,3117
WICKED,ELPHABA,2806,FEMALE,8309
